ID	chromosome_name	start_position	end_position	S6_GR-10824	S8_GR-1615	S8_GR-7341 D	S6_GR-3810	S6_GR-6296 D	S6_GR-9320	S8_GR-2980 D	S8_GR-1114	S6_GR-7150
cg13869341	1	15864	15865	0.830297186310679	0.87924895324812	0.765185755748478	0.748118518722464	0.776729512659847	0.799696652030449	0.824467634461931	0.774892211689461	0.846424774044674
cg14008030	1	18826	18827	0.465874844726859	0.363757587469833	0.428929930880685	0.439668407904765	0.348728238506974	0.440893342107771	0.429532606006279	0.3738671326128	0.521299491895923
cg12045430	1	29406	29407	0.0670450315708119	0.0617456468912334	0.0545296595793215	0.0542270663263844	0.0637327101128566	0.0520735780277855	0.0651845543461427	0.0337915275123512	0.0712187288094617
cg20826792	1	29424	29425	0.190852586224215	0.134816765487628	0.166005698321768	0.184011165182046	0.157111189610967	0.186832396058754	0.133604305466907	0.127543902253638	0.266883226244242
cg00381604	1	29434	29435	0.0533394825773657	0.035701645815456	0.0460948153602892	0.0533291924836769	0.0446645000613252	0.0422019332460934	0.0597797614181123	0.0243907930985833	0.0297144423739783
cg20253340	1	68848	68849	0.515587811121827	0.561168674606472	0.450753855862459	0.278557649992592	0.491207115516047	0.455804206451107	0.592647887538905	0.440466626356981	0.563852970089191
cg21870274	1	69590	69591	0.534875346025947	0.567653120490706	0.599354208765454	0.222942307867219	0.390709004747809	0.40737372072749	0.601607972949102	0.800559434672855	0.37906471091755
cg03130891	1	91549	91550	0.0752846110630685	0.110547760360946	0.0374271734654626	0.0540938722181188	0.126075757709001	0.12334982016616	0.0207834021723544	0.164426421497556	0.0908624046639551
cg24335620	1	135251	135252	0.856916048475728	0.7583584807585	0.934906729211618	0.73663077561407	0.838216142432384	0.721782077587686	0.834875712658971	0.747761556172867	0.808138719918432
cg16162899	1	449075	449076	0.960642081844378	0.917802340850404	0.903429744585191	0.543489787315776	0.91245411589288	0.957614253580944	0.911546188618068	0.918038028415556	0.95478064807474
cg17149495	1	530958	530959	0.762998672174579	0.723367523279154	0.882364010833139	0.735135384382433	0.746914366557853	0.793653067463433	0.83145658917436	0.886323339774354	0.659979965680432
cg22802167	1	533949	533950	0.853157306698419	0.869917566953876	0.86964370719084	0.781735598843578	0.872628903936203	0.938366858260298	0.894555664415367	0.931064573706552	0.86855224751799
cg24669183	1	534241	534242	0.740898021646627	0.64947187918356	0.909991953869128	0.891718767963412	0.654718370936095	0.766180688483224	0.903459352130275	0.950175863668486	0.85509960635805
cg17308840	1	542757	542758	0.194776337620828	0.0705348678911672	0.168542441672005	0.104226089090275	0.0969971261324667	0.0474412263455872	0.136450681318895	0.0411244268335262	0
cg24159721	1	565169	565170	0.143141311537187	0.171169702309583	0.192555758561043	0.159845691017657	0.199188497331617	0.149137703904079	0.172274527066069	0.129911600021291	0.125771965719349
cg15174812	1	566171	566172	0.0954591624414488	0.136845739969312	0.140140436883357	0.0933761531791883	0.192234295815525	0.0710698036648227	0.136194630526754	0.0987136614881296	0.0855195467816162
cg00034556	1	566730	566731	0.245221598767832	0.167965666133972	0.347812688971454	0.229966424428745	0.382368317553507	0.20367380867901	0.309790469737514	0.348004974429883	0.216967150231869
cg00645010	1	567112	567113	0.0938213421600492	0.0425426435369661	0.169225673820019	0.0541628128374528	0.182526205377787	0.0536854853435068	0.105575008489143	0.0596348954931741	0.0859953599417158
cg15394630	1	567205	567206	0.120979475553813	0.130400252020039	0.194776728719512	0.11176229586694	0.233198190466908	0.0996883805250854	0.214444398921126	0.192352123047487	0.124405315166241
cg05001044	1	567311	567312	0.103422789915885	0.139909592716134	0.252158733218927	0.101417595841901	0.136594178111725	0.0932696601834731	0.169288967271446	0.0571968247212365	0.0968047036562492
cg03344490	1	567347	567348	0.117756494020928	0.0807269520765646	0.172851086272251	0.083626407812211	0.214447703750657	0.0469289081013326	0.158925362216806	0.121549311270964	0.122365294714984
cg17501828	1	567357	567358	0.142643956596847	0.17177361672449	0.238895416019268	0.193926400385089	0.257211677754465	0.170004389791902	0.262863269250011	0.230079525658737	0.200339662593437
cg23917638	1	567500	567501	0.222774750440697	0.216487397018136	0.257736491773257	0.190672622249062	0.309695305554606	0.176302375107055	0.304997093398072	0.298545788289692	0.199420434749516
cg18024856	1	567746	567747	0.0682678746969777	0.0151329501463878	0.0427720107038296	0.0255137484403851	0.0645628690216624	0.0136252467913396	0.0652435986335726	0.0384964640707821	0.0335210406780848
cg27534567	1	568535	568536	0.228198733685478	0.0693754279327911	0.238620315579099	0.13399179017532	0.159521693558694	0.124372901050563	0.128460486490013	0.126590102078908	0.17138083349233
cg03348902	1	569602	569603	0.18416270164265	0.205193844292993	0.212076216656776	0.191583543665828	0.267570075030222	0.136730588592689	0.215633693302539	0.208774663861028	0.154419122059612
cg01070250	1	569686	569687	0.0995032540513542	0.147587173883983	0.239998260454667	0.122593658365431	0.186068479485959	0.153152679162423	0.178469945426763	0.0970977568708368	0.245578436093758
cg21996134	1	663152	663153	0.931661658664615	0.841464158236395	0.899042643086107	0.944941442635492	0.838473413465422	0.941722616065509	0.934858653012786	0.908253974083579	0.896517141130475
